ID,Date,Long,Lat,Price
317,14/04/2008 00:00,-7.55729,49.7667,359950
318,27/06/2008 00:00,-0.071206,51.4813,165000
319,28/08/2008 00:00,-0.16319,51.6106,248000
320,18/06/2008 00:00,-0.357964,51.5627,237500
321,29/04/2008 00:00,-0.310406,51.4542,520000
322,15/07/2008 00:00,-0.001878,51.5892,210000
323,18/07/2008 00:00,-0.418161,51.5281,225000
324,27/05/2008 00:00,0.231489,51.5652,300000
325,28/03/2008 00:00,0.144324,51.538,192000
326,04/04/2008 00:00,-7.55729,49.7667,500000
327,19/03/2008 00:00,0.14699,51.5379,180000
328,25/04/2008 00:00,-0.019089,51.4901,305000
329,16/04/2008 00:00,-0.269369,51.6006,185000
330,11/01/2008 00:00,-0.302029,51.3983,277500
331,29/02/2008 00:00,-0.08101,51.4062,390000
332,31/07/2008 00:00,-0.056701,51.5988,170000
333,27/06/2008 00:00,-0.37282,51.6137,736000
334,10/10/2008 00:00,-0.196985,51.4417,290000
335,04/03/2008 00:00,0.084007,51.4458,153500
336,25/07/2008 00:00,-7.55729,49.7667,576000
337,31/10/2008 00:00,-0.138812,51.4038,230000
338,12/12/2008 00:00,-0.104768,51.3946,185000
339,11/07/2008 00:00,-0.190675,51.6009,247500
340,01/02/2008 00:00,-0.238107,51.3996,250000
341,09/05/2008 00:00,-0.266089,51.499,642500
342,07/02/2008 00:00,-0.020456,51.5759,210000
343,28/01/2008 00:00,-0.21081,51.4853,429000
344,29/02/2008 00:00,-0.354849,51.4627,300000
345,29/08/2008 00:00,-0.22549,51.4084,305000
346,10/06/2008 00:00,-0.055416,51.437,205000
347,07/03/2008 00:00,-7.55729,49.7667,295000
348,20/03/2008 00:00,-7.55729,49.7667,190000
349,19/05/2008 00:00,-7.55729,49.7667,132500
350,15/01/2008 00:00,-0.14276,51.455,499950
351,15/07/2008 00:00,0.045021,51.534,200000
352,28/02/2008 00:00,-0.204647,51.4581,360000
353,03/09/2008 00:00,0.003312,51.5736,315000
354,22/08/2008 00:00,-0.063954,51.4716,150000
355,25/02/2008 00:00,0.168666,51.5358,142500
356,12/12/2008 00:00,-0.473752,51.556,390000
357,20/03/2008 00:00,-7.55729,49.7667,426900
358,02/10/2008 00:00,-0.276265,51.4633,234000
359,04/07/2008 00:00,-0.404162,51.5956,388000
360,09/04/2008 00:00,0.078285,51.5694,300000
361,06/02/2008 00:00,-0.347934,51.5907,250000
362,29/02/2008 00:00,-0.321578,51.4506,274950
363,25/09/2008 00:00,-0.167951,51.4298,367000
364,22/12/2008 00:00,-0.436009,51.5167,200000
365,07/02/2008 00:00,-0.121669,51.598,310000
366,08/01/2008 00:00,0.244152,51.5454,462500
367,29/02/2008 00:00,-0.180487,51.4882,1225000
368,31/01/2008 00:00,-0.079357,51.4878,143000
369,30/05/2008 00:00,-0.103348,51.4849,290000
370,12/05/2008 00:00,-7.55729,49.7667,330000
371,25/03/2008 00:00,0.011237,51.3972,326000
